Galeria Ubicacion
Tomio Koyama	Tokio, Kioto, Japón
Esther Arias Galerías de Arte y Taller	Barcelona, España
Hans Mayer	Düsseldorf, Alemania
MoMA	Nueva York, EE.UU.
Galerie Bruno Bishofberger	Zúrich, Alemania
Annely Juda Fine Art	Londres, Inglaterra
Marlborough Fine Art	Londers, Inglaterra
Opera Gallery	Paris, Francia
The Saatchi Gallery	Londres, Inglaterra
Gagosian Gallery	Nueva York, Estados Unidos
Galería Peragón	Barcelona, España
Galería Toni Tàpies	Barcelona, España
Galería Marlborough Barcelona	Barcelona, España
Galería Joan Gaspar	Barcelona, España
Galería Àngels Barcelona	Barcelona, España
Galería Joan Prats	Barcelona, España
3 Punts Galería	Barcelona, España
Galería Balaguer	Barcelona, España
Galería Trama	Barcelona, España
Galería ProjecteSD	Barcelona, España
Espacio Trafalgar	Barcelona, España
Galería Heinrich Ehrhardt	Madrid, España
Galería Casado Santapau	Madrid, España
Galería Travesía 4	Madrid, España
Galería Elvira Gonzalez	Madrid, España
Galería Parra & Romero	Madrid, España
Galería Juana de Aizpuru	Madrid, España
Galería Maisterra Valbuena	Madrid, España
Galería Helga de Alvear	Madrid, España
Galería Nogueras Blanchard	Madrid, España
Galería Elba Benítez	Madrid, España
